Variable,Rel_importance,Standardised_coef,Raw_coef
temp,0.7972296731573761,-0.21247661052626918,-0.21247661052626918
temp_Diplodus.vulgaris,0.07138733455972966,0.06358138524996094,0.06358138524996094
Diplodus.vulgaris,0.0478504752675275,0.052055009512087996,0.052055009512087996
mpa_Diplodus.vulgaris,0.03718557375258294,0.045888794162522256,0.045888794162522256
depth,0.020949998298974145,-0.03444382692840723,-0.03444382692840723
Diplodus.sargus,0.017475075106074576,-0.031457842071961714,-0.031457842071961714
mpa,0.3405711968899691,0.15116232593983175,0.15116232593983175
mpa_Diplodus.vulgaris,0.33205680961027884,0.14926081321293072,0.14926081321293072
Diplodus.sargus,0.1619564633626241,0.10424104351099496,0.10424104351099496
temp,0.07317630357941518,-0.07006882614851874,-0.07006882614851874
prod,0.02841345867300672,-0.04366180232236842,-0.04718129320716951
depth_Diplodus.sargus,0.024568504040314573,0.04060027401548469,0.04060027401548469
Diplodus.vulgaris,0.020508995788972535,0.037094695117316716,0.037094695117316716
temp_Diplodus.vulgaris,0.011046219742377874,-0.027223655927340024,-0.027223655927340024
prod,0.30573919707898434,0.3205124403225196,0.3463483094845801
mpa_Diplodus.vulgaris,0.19180454041150263,0.2538626284044073,0.2538626284044073
Diplodus.vulgaris,0.17776739795331556,0.2443967285566985,0.2443967285566985
depth,0.11515084928700296,-0.19669934021551652,-0.19669934021551652
temp,0.07804453167061694,-0.16193494193450853,-0.16193494193450853
temp_Diplodus.vulgaris,0.03994941027412468,0.11585759707038207,0.11585759707038207
depth_Diplodus.vulgaris,0.0339867228276992,0.10686216664809431,0.10686216664809431
Diplodus.puntazzo,0.032339912429241516,0.10424104351099496,0.10424104351099496
prod_Diplodus.vulgaris,0.013324474277862436,-0.06691051488729823,-0.06726743117336453
temp,0.23448120360544572,-0.2617699458736849,-0.2617699458736849
mpa_Diplodus.sargus,0.22052915472046444,0.2538626284044073,0.2538626284044073
Diplodus.sargus,0.2043898122713579,0.2443967285566985,0.2443967285566985
depth,0.11678001880660568,0.18473536214136568,0.18473536214136568
mpa_Diplodus.puntazzo,0.07623599540120356,0.14926081321293072,0.14926081321293072
temp_Diplodus.sargus,0.041289874635295716,0.10984683495156294,0.11585759707038207
depth_Diplodus.sargus,0.03907656847346317,0.10686216664809431,0.10686216664809431
temp_Diplodus.annularis,0.013833384222404455,0.06358138524996094,0.06358138524996094
prod_Diplodus.sargus,0.01296309099924255,-0.0615488652893403,-0.06726743117336453
prod,0.012771562188521875,0.061092483058330746,0.06601702638492415
