Site,Apogon.imberbis,Chromis.chromis,Coris.julis,Diplodus.annularis,Diplodus.puntazzo,Diplodus.sargus,Diplodus.vulgaris,Epinephelus.marginatus,Labrus.merula,Mullus.surmuletus,Oblada.melanura,Sarpa.salpa,Serranus.cabrilla,Serranus.scriba,Siganus.luridus,Siganus.rivulatus,Sparisoma.cretense,Symphodus.mediterraneus,Symphodus.melanocercus,Symphodus.ocellatus,Symphodus.roissali,Symphodus.tinca,Thalassoma.pavo,Grand Total
North slope algae,,10,37,,,,1,1,,,2,7,4,6,3,14,3,2,,,15,,30,135
North slope C,,18,14,,,22,8,4,,,1,,1,8,26,21,5,,,,10,7,26,171
North slope GZ,,,9,,,,1,,,,,,,2,4,4,,,,,3,,7,30
OTRANTO,5,37,61,6,12,31,29,1,4,1,2,5,28,22,,,,32,,13,14,51,19,373
Outside reseve,,25,151,6,,4,18,,2,1,1,1,38,4,,,,13,5,11,1,11,,292
PIPERI,3,19,35,2,2,12,23,2,1,4,28,7,24,9,,,,6,4,4,,25,30,240
PORTO CESAREO,12,40,51,9,14,38,40,,1,,5,9,10,26,,,1,16,,3,1,46,16,338
PORTOFINO,10,18,34,2,13,54,30,10,7,3,5,13,26,21,,,,12,2,2,5,33,1,301
Ridge 1,,1,17,,,,1,,,,,,,1,2,3,4,,,,4,,19,52
San vito,32,61,139,25,2,63,91,2,7,26,17,26,9,87,,,2,42,12,37,54,129,100,963
Segavion,,9,17,,,6,4,3,,,1,,1,2,11,16,6,,,,4,,35,115
Shachaf,,20,24,,,17,9,14,,,11,6,1,5,31,21,10,,,1,5,4,59,238
Shikmona,,120,357,,2,105,40,12,,6,16,,15,10,64,141,,8,,,12,15,888,1811
Shikmona 1,,,1,,,3,5,,,,,,,,1,5,1,,,,3,,18,37
Shikmona 2,,2,36,,,6,3,,,,,,1,2,9,10,,,,,11,1,36,117
Shikmona 3,,12,27,,,3,1,,,,,,,6,14,8,3,,,1,4,4,20,103
Shikmona 4,,,3,,,16,1,,,,2,,,,,9,,,,,3,,18,52
Shikmona 5,,,,,,17,4,,,,5,,,,,15,,,,,4,,17,62
South edge of no-take zone,,17,151,,,22,35,,8,9,,,13,,,,,9,10,2,2,23,,301
south of Cape Bear,,15,148,2,,5,18,,1,9,1,,54,4,,,,14,,20,1,7,1,300
Spartan,,16,22,,,18,11,8,,,15,,3,2,17,15,10,2,,,6,7,22,174
Sponge Bob Harbor,6,17,26,,,,8,,,,1,,8,5,3,8,12,,,6,3,19,32,154
TAVOLARA,1,21,47,4,20,41,59,7,12,5,17,14,26,28,,,,14,8,13,7,42,9,395
TORRE GUACETO,,23,62,51,14,60,61,,3,22,8,2,37,32,,,,19,,9,6,58,,467
TREMITI,,18,22,,3,4,6,,,1,3,3,12,7,,,,8,,4,1,4,3,99
Ustica,47,97,161,55,8,1,31,21,1,2,18,56,2,99,,,11,76,8,69,17,101,103,984
(blank),,11,160,3,,12,14,,4,6,,1,30,,,,,6,2,15,4,20,,288
Grand Total,486,3389,7819,720,481,3879,4488,419,510,725,1175,1053,2387,1901,682,1525,732,1168,495,1402,1109,3412,6050,46007
