id,origin,lon,lat,site,latloncheck
1,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
2,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
3,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
4,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
5,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
6,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
7,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
8,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
9,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
10,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
11,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
12,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
13,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
14,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
15,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
16,azz_asi,7.898180497,41.07740853,ASINARA_add,7.89818049741.07740853
17,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
18,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
19,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
20,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
21,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
22,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
23,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
24,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
25,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
26,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
27,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
28,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
29,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
30,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
31,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
32,azz_asi,8.194,41.062,ASINARA_add,8.19441.062
33,azz_asi,8.204,41.055,ASINARA_add,8.20441.055
34,azz_asi,8.204,41.055,ASINARA_add,8.20441.055
35,azz_asi,8.204,41.055,ASINARA_add,8.20441.055
36,azz_asi,8.204,41.055,ASINARA_add,8.20441.055
37,azz_asi,8.204,41.055,ASINARA_add,8.20441.055
38,azz_asi,8.204,41.055,ASINARA_add,8.20441.055
