Diplodus.annularis,Diplodus.puntazzo,Diplodus.sargus,Diplodus.vulgaris,Diplodus.cervinus,mpa,temp,depth,prod
0,0,0,0,0,FALSE,0.20386091172146273,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.20386091172146273,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,FALSE,0.20386091172146273,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,0.20386091172146273,0.10713106210697365,-0.6838437514463025
