Epinephelus.costae,Epinephelus.marginatus,Mycteroperca.rubra,Serranus.cabrilla,Serranus.scriba,mpa,temp,depth,prod
0,0,0,0,0,FALSE,0.20386091172146273,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.20386091172146273,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,FALSE,0.20386091172146273,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,0.20386091172146273,0.10713106210697365,-0.6838437514463025
