Epinephelus.costae,Epinephelus.marginatus,Mycteroperca.rubra,Serranus.cabrilla,Serranus.scriba,mpa,temp,depth,prod
0,0,0,0,0,TRUE,-1.8,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-1.7,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-1.6,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.9,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.8,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.7,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.6,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.5,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.4,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.3,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.2,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.1,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.1,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.2,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.4,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.8,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.9,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,1.1,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,1.2,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,1.4,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,1.5,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-1.8,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-1.7,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-1.6,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-0.9,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-0.8,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-0.7,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-0.6,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-0.5,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-0.4,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-0.3,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-0.2,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,-0.1,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,0,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,0.1,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,0.2,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,0.4,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,0.8,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,0.9,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,1.1,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,1.2,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,1.4,0.10713106210697365,-0.6838437514463025
8,4,7,26,12,TRUE,1.5,0.10713106210697365,-0.6838437514463025
