Diplodus.annularis,Diplodus.puntazzo,Diplodus.sargus,Diplodus.vulgaris,Diplodus.cervinus,mpa,temp,depth,prod
0,0,0,0,0,TRUE,-1.8,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-1.7,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-1.6,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.9,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.8,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.7,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.6,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.5,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.4,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.3,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.2,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,-0.1,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.1,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.2,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.4,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.8,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,0.9,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,1.1,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,1.2,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,1.4,0.10713106210697365,-0.6838437514463025
0,0,0,0,0,TRUE,1.5,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-1.8,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-1.7,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-1.6,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-0.9,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-0.8,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-0.7,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-0.6,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-0.5,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-0.4,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-0.3,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-0.2,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,-0.1,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,0,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,0.1,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,0.2,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,0.4,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,0.8,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,0.9,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,1.1,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,1.2,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,1.4,0.10713106210697365,-0.6838437514463025
26,14,436,600,4,TRUE,1.5,0.10713106210697365,-0.6838437514463025
